time,x,y,z
0 days 00:00:00,-0.4129449,0.118507855,-0.062308256
0 days 00:00:00.010000,-0.17715092,0.10262536,-0.04153884
0 days 00:00:00.020000,-0.118507855,0.09285152,-0.032986723
0 days 00:00:00.030000,-0.24556783,0.065973446,-0.08307768
0 days 00:00:00.040000,-0.25778514,0.035430185,-0.13072516
0 days 00:00:00.050000,-0.10873401,0.018325957,-0.15027285
0 days 00:00:00.060000,0.15515977,-0.02443461,-0.18936823
0 days 00:00:00.070000,0.4447099,-0.05497787,-0.22479841
0 days 00:00:00.080000,0.7538077,-0.061086524,-0.24312437
0 days 00:00:00.090000,1.0152581,-0.06841691,-0.26267207
0 days 00:00:00.100000,1.065349,-0.05131268,-0.23457226
0 days 00:00:00.110000,0.82711154,-0.040317107,-0.22357668
0 days 00:00:00.120000,0.49113566,-0.04886922,-0.26389378
0 days 00:00:00.130000,0.24556783,-0.05009095,-0.2761111
0 days 00:00:00.140000,0.09285152,-0.037873644,-0.25778514
0 days 00:00:00.150000,-0.040317107,-0.017104227,-0.25289822
0 days 00:00:00.160000,-0.13683382,0.03176499,-0.25778514
0 days 00:00:00.170000,-0.13072516,0.08307768,-0.24801129
0 days 00:00:00.180000,-0.1685988,0.13194689,-0.23701571
0 days 00:00:00.190000,-0.4202753,0.172264,-0.23579398
0 days 00:00:00.200000,-0.7965683,0.1966986,-0.24190263
0 days 00:00:00.210000,-1.0445796,0.21624629,-0.267559
0 days 00:00:00.220000,-1.102001,0.23335053,-0.28955013
0 days 00:00:00.230000,-0.893085,0.26389378,-0.30176744
0 days 00:00:00.240000,-0.50335294,0.32498032,-0.3042109
0 days 00:00:00.250000,-0.1282817,0.36041048,-0.23457226
0 days 00:00:00.260000,0.04214970000000001,0.35308011,-0.211970245
0 days 00:00:00.270000,0.2125811,0.34574974,-0.18936823
0 days 00:00:00.280000,0.16982054,0.38484511,-0.18264871500000002
0 days 00:00:00.290000,-0.0720821,0.41905355,-0.09162979
0 days 00:00:00.300000,-0.23090707,0.3885103,-0.05009095
0 days 00:00:00.310000,-0.19425514,0.35918877,-0.10140363
0 days 00:00:00.320000,0.09162979,0.31031954,-0.15515977
0 days 00:00:00.330000,0.43249258,0.3359759,-0.059864793
0 days 00:00:00.340000,0.5363397,0.39950588,0.12339478
0 days 00:00:00.350000,0.55833083,0.43127087,0.2846632
0 days 00:00:00.360000,1.0629056,0.5143485,0.37018433
0 days 00:00:00.370000,1.5919148,0.5510005,0.44837508
0 days 00:00:00.380000,1.6371188,0.5864306,0.49480084
0 days 00:00:00.390000,0.9138544,0.64751714,0.7098254
0 days 00:00:00.400000,-0.16249016,0.61819565,0.96761054
0 days 00:00:00.410000,-0.37140608,0.5522222,0.82344633
0 days 00:00:00.420000,-0.095294975,0.51068336,0.7696902
0 days 00:00:00.430000,0.15149458,0.47769663,0.8576548
0 days 00:00:00.440000,0.21380283,0.548557,0.9224065
0 days 00:00:00.450000,0.30665436,0.6291912,0.91507614
0 days 00:00:00.460000,0.54244834,0.6072,0.91751957
0 days 00:00:00.470000,0.5522222,0.54733527,1.0458013
0 days 00:00:00.480000,0.27488935,0.48502702,1.128879
0 days 00:00:00.490000,0.096516706,0.38362336,1.0861185
0 days 00:00:00.500000,-0.018325957,0.3726278,1.1398746
0 days 00:00:00.510000,0.10720684899999999,0.41019600749999996,1.152397325
0 days 00:00:00.520000,0.232739655,0.44776421499999997,1.16492005
0 days 00:00:00.530000,0.31887165,0.47891834,1.174083
0 days 00:00:00.540000,0.33353242,0.4886922,1.1484267
0 days 00:00:00.550000,0.30909783,0.50701815,1.1691961
0 days 00:00:00.560000,0.35918877,0.52778757,1.2363913
0 days 00:00:00.570000,0.45081854,0.55955255,1.3182472
0 days 00:00:00.580000,0.18570304,0.4972443,1.2718215
0 days 00:00:00.590000,0.22113322,0.47647488,1.2021828
0 days 00:00:00.600000,0.37751472,0.56199604,1.2974777
0 days 00:00:00.610000,0.11728613,0.5852089,1.3976597
0 days 00:00:00.620000,0.2761111,0.6792821,1.4049901
0 days 00:00:00.630000,0.16493362,0.73426,1.4844025
0 days 00:00:00.640000,0.02443461,0.73426,1.3976597
0 days 00:00:00.650000,0.12095132,0.71837753,1.1753048
0 days 00:00:00.660000,0.07574729,0.66950834,1.1068878
0 days 00:00:00.670000,0.08552113,0.6133087,1.0580186
