time,x,y,z
0 days 00:00:00,0.6914995,-0.061086524,-0.10262536
0 days 00:00:00.010000,0.6719518,-0.10751228,-0.10995574
0 days 00:00:00.020000,0.7134906,-0.119729586,-0.096516706
0 days 00:00:00.030000,0.8002335,-0.119729586,-0.04642576
0 days 00:00:00.040000,0.86498517,-0.10995574,0.0061086523
0 days 00:00:00.050000,0.75747293,-0.096516706,0.04153884
0 days 00:00:00.060000,0.45081854,-0.081855945,0.02321288
0 days 00:00:00.070000,-0.008552114,-0.080634214,-0.029321533
0 days 00:00:00.080000,-0.4886922,-0.058643065,-0.057421334
0 days 00:00:00.090000,-0.89919364,-0.030543262,-0.07696902
0 days 00:00:00.100000,-1.0677924,-0.012217305,-0.13316862
0 days 00:00:00.110000,-0.87109387,0.018325957,-0.19303341
0 days 00:00:00.120000,-0.40683624,0.062308256,-0.17837265
0 days 00:00:00.130000,-0.013439035,0.087964594,-0.15515977
0 days 00:00:00.140000,-0.017104227,0.1160644,-0.17470746
0 days 00:00:00.150000,-0.27488935,0.14905111,-0.2284636
0 days 00:00:00.160000,-0.49602258,0.17348573,-0.26389378
0 days 00:00:00.170000,-0.5143485,0.20280726,-0.29077184
0 days 00:00:00.180000,-0.4361578,0.23335053,-0.28099802
0 days 00:00:00.190000,-0.15515977,0.25411993,-0.24190263
0 days 00:00:00.200000,0.2724459,0.25534168,-0.22479841
0 days 00:00:00.210000,0.61941737,0.23579398,-0.20158553
0 days 00:00:00.220000,0.6389651,0.2724459,-0.19303341
0 days 00:00:00.230000,0.25534168,0.27977628,-0.18081611
0 days 00:00:00.240000,-0.05009095,0.30787608,-0.17348573
0 days 00:00:00.250000,-0.19181168,0.33108896,-0.12461651
0 days 00:00:00.260000,-0.16615535,0.36041048,-0.065973446
0 days 00:00:00.270000,0.02565634,0.3811799,-0.040317107
0 days 00:00:00.280000,0.2883284,0.38728857,-0.0036651916
0 days 00:00:00.290000,0.3481932,0.4166101,0.07819075
0 days 00:00:00.300000,-0.025350910000000004,0.4459316325,0.119424155
0 days 00:00:00.310000,-0.39889502,0.475253165,0.16065756
0 days 00:00:00.320000,-0.6560693,0.49113566,0.2443461
0 days 00:00:00.330000,-0.39950588,0.49235737,0.2883284
0 days 00:00:00.340000,0.09896017,0.4654793,0.3408628
0 days 00:00:00.350000,0.7330383,0.52412236,0.38973203
0 days 00:00:00.360000,0.44959682,0.59986967,0.37140608
0 days 00:00:00.370000,0.008552114,0.54733527,0.3811799
0 days 00:00:00.380000,-0.13805555,0.60231316,0.3848451
0 days 00:00:00.390000,0.27855456,0.56077427,0.40194935
0 days 00:00:00.400000,0.816116,0.5522222,0.43371433
0 days 00:00:00.410000,1.2021828,0.53023106,0.5546656
0 days 00:00:00.420000,1.2412782,0.5888741,0.9114109
0 days 00:00:00.430000,0.71959925,0.7635816,1.2009611
0 days 00:00:00.440000,0.43860126,0.72326446,1.105666
0 days 00:00:00.450000,0.267559,0.64873886,0.97249746
0 days 00:00:00.460000,0.09040806,0.6462954,1.0164797
0 days 00:00:00.470000,0.15515977,0.69027776,1.1215485
0 days 00:00:00.480000,0.1563815,0.5888741,1.1826351
0 days 00:00:00.490000,0.008552114,0.47403142,1.2180653
0 days 00:00:00.500000,0.14660765,0.60231316,1.2779301
0 days 00:00:00.510000,0.36163223,0.7244862,1.3133603
0 days 00:00:00.520000,0.50701815,0.6230826,1.2901474
0 days 00:00:00.530000,0.6047566,0.59864795,1.3072516
0 days 00:00:00.540000,0.38240165,0.55833083,1.3671165
0 days 00:00:00.550000,0.24678956,0.5681047,1.3390167
0 days 00:00:00.560000,0.059864793,0.47158796,1.282817
0 days 00:00:00.570000,0.15760323,0.43860126,1.3267993
0 days 00:00:00.580000,0.06719518,0.42638394,1.3768903
0 days 00:00:00.590000,0.073303826,0.516792,1.3622295
0 days 00:00:00.600000,0.105068825,0.6084218,1.2803736
0 days 00:00:00.610000,0.3115413,0.6377433,1.2180653
0 days 00:00:00.620000,0.46914452,0.64751714,1.128879
0 days 00:00:00.630000,0.39584067,0.6084218,1.073901
0 days 00:00:00.640000,0.25167647,0.57787853,1.0299188
0 days 00:00:00.650000,0.13316862,0.50335294,0.9859365
0 days 00:00:00.660000,0.20280726,0.56199604,0.9957104
0 days 00:00:00.670000,-0.14294247,0.5021312,0.9224065
0 days 00:00:00.680000,-0.061086524,0.48624873,0.72692966
0 days 00:00:00.690000,0.2443461,0.47403142,0.59620446
0 days 00:00:00.700000,0.51923543,0.42149702,0.50701815
0 days 00:00:00.710000,0.39095375,0.29565877,0.42394048
0 days 00:00:00.720000,0.0842994,0.16126843,0.30665436
0 days 00:00:00.730000,0.03176499,0.10995574,0.18325958
0 days 00:00:00.740000,0.05131268,0.032986723,0.065973446
0 days 00:00:00.750000,0.18570304,0.057421334,-0.06841691
0 days 00:00:00.760000,0.33964106,0.13194689,-0.09773844
0 days 00:00:00.770000,0.38606682,0.15882497,-0.11728613
0 days 00:00:00.780000,0.27855456,0.12583824,-0.16737708
0 days 00:00:00.790000,0.14782938,0.059864793,-0.21502456
0 days 00:00:00.800000,0.035430185,-0.017104227,-0.25411993
0 days 00:00:00.810000,0.073303826,-0.008552114,-0.21013765
0 days 00:00:00.820000,0.043982297,0.013439035,-0.1685988
0 days 00:00:00.830000,0.27855456,0.08552113,-0.14905111
0 days 00:00:00.840000,0.27855456,0.08552113,-0.14905111
0 days 00:00:00.850000,0.1966986,0.09040806,-0.12095132
0 days 00:00:00.860000,0.16249016,0.065973446,-0.019547688
0 days 00:00:00.870000,0.047647487,0.064751714,0.0842994
0 days 00:00:00.880000,-0.036651913,0.06841691,0.095294975
