time,x,y,z
0 days 00:00:00,0.31398472,0.19425514,-0.08307768
0 days 00:00:00.010000,0.05131268,0.15515977,-0.095294975
0 days 00:00:00.020000,-0.08552113,0.12095132,-0.15760323
0 days 00:00:00.030000,-0.0720821,0.112399206,-0.2003638
0 days 00:00:00.040000,0.13805555,0.08552113,-0.21135938
0 days 00:00:00.050000,0.44104472,0.073303826,-0.21746802
0 days 00:00:00.060000,0.5876524,0.028099801,-0.23457226
0 days 00:00:00.070000,0.43982297,-0.019547688,-0.29932398
0 days 00:00:00.080000,0.288939259,-0.04795292275,-0.358883335
0 days 00:00:00.090000,0.138055548,-0.0763581575,-0.41844269
0 days 00:00:00.100000,-0.02565634,-0.09896017,-0.5009095
0 days 00:00:00.110000,0.012217305,-0.09896017,-0.5131268
0 days 00:00:00.120000,0.14172074,-0.0720821,-0.51068336
0 days 00:00:00.130000,0.23090707,-0.08674286,-0.548557
0 days 00:00:00.140000,-0.002443461,-0.095294975,-0.5839872
0 days 00:00:00.150000,-0.34697145,-0.081855945,-0.57787853
0 days 00:00:00.160000,-0.6059783,-0.089186326,-0.54000485
0 days 00:00:00.170000,-0.57910025,-0.11362094,-0.5363397
0 days 00:00:00.180000,-0.43004912,-0.1563815,-0.5448918
0 days 00:00:00.190000,-0.19181168,-0.22602014,-0.5375614
0 days 00:00:00.200000,0.06719518,-0.30176744,-0.5448918
0 days 00:00:00.210000,0.37995818,-0.36285394,-0.5375614
0 days 00:00:00.220000,0.5021312,-0.39095375,-0.48991394
0 days 00:00:00.230000,0.31520647,-0.42760566,-0.43004912
0 days 00:00:00.240000,0.16737708,-0.45204028,-0.37507126
0 days 00:00:00.250000,0.2932153,-0.4373795,-0.30787608
0 days 00:00:00.260000,0.6291912,-0.40194935,-0.26145032
0 days 00:00:00.270000,0.79534656,-0.34208453,-0.26511553
0 days 00:00:00.280000,0.61575216,-0.23579398,-0.22235495
0 days 00:00:00.290000,0.11484267,-0.09773844,-0.14538592
0 days 00:00:00.300000,-0.72326446,0.014660766,-0.1001819
0 days 00:00:00.310000,-1.1325442,0.040317107,-0.0842994
0 days 00:00:00.320000,-0.52656585,0.10751228,-0.073303826
0 days 00:00:00.330000,0.31031954,0.21991149,0.0012217305
0 days 00:00:00.340000,0.88331115,0.32742378,0.13072516
0 days 00:00:00.350000,1.237613,0.44715336,0.20158553
0 days 00:00:00.360000,1.2168436,0.54000485,0.20647246
0 days 00:00:00.370000,0.91507614,0.5864306,0.20525073
0 days 00:00:00.380000,0.9984253011111112,0.56403222,0.33896234000000003
0 days 00:00:00.390000,1.0817744622222223,0.54163384,0.47267395
0 days 00:00:00.400000,1.1651236233333335,0.51923546,0.60638556
0 days 00:00:00.410000,0.63163465,0.6401868,1.210735
0 days 00:00:00.420000,0.7049385,0.72082096,0.8784242
0 days 00:00:00.430000,1.2400564,0.7611381,0.98715824
0 days 00:00:00.440000,1.0812315,0.784351,1.2302825
0 days 00:00:00.450000,0.72326446,0.65484756,1.142318
0 days 00:00:00.460000,0.8564331,0.6047566,1.0751228
0 days 00:00:00.470000,0.5546656,0.5204572,1.2302825
0 days 00:00:00.480000,0.17104226,0.43493605,1.328021
0 days 00:00:00.490000,0.06963864,0.36285394,1.2986995
0 days 00:00:00.500000,0.16249016,0.37751472,1.3390167
0 days 00:00:00.510000,0.36651915,0.47769663,1.3878858
0 days 00:00:00.520000,0.48258355,0.46181414,1.3634512
0 days 00:00:00.530000,0.89919364,0.5045747,1.4184291
0 days 00:00:00.540000,0.860403685,0.52473324,1.426981225
0 days 00:00:00.550000,0.8216137299999999,0.5448917799999999,1.43553335
0 days 00:00:00.560000,0.27366763,0.43127087,1.3084733
0 days 00:00:00.570000,0.46914452,0.5314528,1.4648548
0 days 00:00:00.580000,0.04520403,0.49113566,1.5442673
0 days 00:00:00.590000,-0.24190263,0.51923543,1.4404203
0 days 00:00:00.600000,0.21380283,0.6963864,1.4037683
0 days 00:00:00.610000,0.7012733,0.8772025,1.5247196
0 days 00:00:00.620000,0.78801614,0.9077458,1.4514158
0 days 00:00:00.630000,0.49235737,0.81122905,1.2962561
0 days 00:00:00.640000,0.064751714,0.63285637,1.1362094
0 days 00:00:00.650000,-0.057421334,0.5326745,1.073901
0 days 00:00:00.660000,0.10751228,0.55833083,1.1569787
0 days 00:00:00.670000,-0.0720821,0.54000485,1.1545353
0 days 00:00:00.680000,-0.030543262,0.6096435,1.0225884
0 days 00:00:00.690000,0.07086037,0.6072,0.8491027
0 days 00:00:00.700000,0.119729586,0.30298916,0.48624873
0 days 00:00:00.710000,0.057421334,0.17959438,0.3640757
0 days 00:00:00.720000,-0.13194689,0.089186326,0.2919936
0 days 00:00:00.730000,-0.23335053,-0.010995574,0.12217305
0 days 00:00:00.740000,0.03695734249999999,0.00733038265,0.029626964000000006
0 days 00:00:00.750000,0.307265215,0.0256563393,-0.062919122
0 days 00:00:00.760000,0.49846604,0.02687807,-0.25778514
0 days 00:00:00.770000,0.55833083,-0.02076942,-0.3481932
0 days 00:00:00.780000,0.23823744,-0.10629055,-0.40194935
0 days 00:00:00.790000,-0.19914207,-0.16493362,-0.50946164
