time,x,y,z
0 days 00:00:00,0.25289822,0.036651913,-0.118507855
0 days 00:00:00.010000,0.1160644,0.012217305,-0.15515977
0 days 00:00:00.020000,0.07452556,-0.013439035,-0.1685988
0 days 00:00:00.030000,0.22235495,-0.032986723,-0.16126843
0 days 00:00:00.040000,0.45448375,-0.06352998,-0.16982053
0 days 00:00:00.050000,0.49846604,-0.09285152,-0.18448131
0 days 00:00:00.060000,-0.061086524,-0.118507855,-0.20647246
0 days 00:00:00.070000,-0.19914207,-0.14538592,-0.26145032
0 days 00:00:00.080000,-0.035430185,-0.15515977,-0.30787608
0 days 00:00:00.090000,0.064751714,-0.14782938,-0.29077184
0 days 00:00:00.100000,0.056199603,-0.14172074,-0.23335053
0 days 00:00:00.110000,0.09773844,-0.16371189,-0.23823744
0 days 00:00:00.120000,0.03176499,-0.21746802,-0.3371976
0 days 00:00:00.130000,-0.008552114,-0.2687807,-0.4129449
0 days 00:00:00.140000,-0.002443461,-0.27855456,-0.46303585
0 days 00:00:00.150000,-0.17959438,-0.29932398,-0.5204572
0 days 00:00:00.160000,-0.18570304,-0.26389378,-0.54367006
0 days 00:00:00.170000,-0.16126843,-0.17104226,-0.49968776
0 days 00:00:00.180000,-0.1881465,-0.10751228,-0.45937067
0 days 00:00:00.190000,-0.2883284,-0.02687807,-0.48380527
0 days 00:00:00.200000,-0.48258355,0.030543262,-0.52290064
0 days 00:00:00.210000,-0.5888741,0.105068825,-0.54244834
0 days 00:00:00.220000,-0.64873886,0.17592919,-0.5742133
0 days 00:00:00.230000,-0.66828656,0.21502456,-0.59864795
0 days 00:00:00.240000,-0.6963864,0.27000242,-0.61453044
0 days 00:00:00.250000,-0.57787853,0.30787608,-0.5717699
0 days 00:00:00.260000,-0.2773328,0.3200934,-0.4813618
0 days 00:00:00.270000,-0.08307768,0.36285394,-0.44348818
0 days 00:00:00.280000,-0.029321533,0.376293,-0.45570546
0 days 00:00:00.290000,0.118507855,0.3652974,-0.47525316
0 days 00:00:00.300000,0.35918877,0.37018433,-0.43249258
0 days 00:00:00.310000,0.6365216,0.40561453,-0.3200934
0 days 00:00:00.320000,0.77213365,0.47403142,-0.12950343
0 days 00:00:00.330000,0.71593404,0.593761,0.13805555
0 days 00:00:00.340000,0.29565877,0.6817256,0.29565877
0 days 00:00:00.350000,0.08674286,0.7293731,0.27488935
0 days 00:00:00.360000,0.047647487,0.6914995,0.27488935
0 days 00:00:00.370000,0.095294975,0.6927212,0.38362336
0 days 00:00:00.380000,0.07357532288888889,0.6633996622222222,0.43113510222222223
0 days 00:00:00.390000,0.05185567077777778,0.6340781244444444,0.4786468444444444
0 days 00:00:00.400000,0.030136018666666667,0.6047565866666667,0.5261585866666666
0 days 00:00:00.410000,-0.12950343,0.6426302,0.73792523
0 days 00:00:00.420000,0.07941248,0.7367035,0.7965683
0 days 00:00:00.430000,0.43493605,0.77579886,0.8210029
0 days 00:00:00.440000,0.63529986,0.79045963,0.8564331
0 days 00:00:00.450000,0.40317106,0.68783426,0.8381071
0 days 00:00:00.460000,0.2846632,0.65240407,0.88086766
0 days 00:00:00.470000,-0.1282817,0.6267477,1.0152581
0 days 00:00:00.480000,-0.19058995,0.6365216,1.0164797
0 days 00:00:00.490000,0.19914207,0.65484756,1.0213667
0 days 00:00:00.500000,0.33108896,0.71837753,1.0983357
0 days 00:00:00.510000,0.47769663,0.8063421,1.1129965
0 days 00:00:00.520000,0.657291,0.8454375,1.1007792
0 days 00:00:00.530000,0.37995818,0.7696902,1.0641272
0 days 00:00:00.540000,0.05375614,0.64996064,0.9761627
0 days 00:00:00.550000,0.17837265,0.6133087,1.0128145
0 days 00:00:00.560000,0.3042109,0.58276546,1.102001
0 days 00:00:00.570000,0.37507126,0.5681047,1.17897
0 days 00:00:00.580000,0.2773328,0.54244834,1.1936307
0 days 00:00:00.590000,0.45081854,0.5314528,1.0384709
0 days 00:00:00.600000,0.45081854,0.5314528,1.0384709
0 days 00:00:00.610000,0.5766568,0.6792821,1.1472049
0 days 00:00:00.620000,0.78801614,0.80756384,1.2705997
0 days 00:00:00.630000,0.4605924,0.58032197,0.9138544
0 days 00:00:00.640000,0.46792278,0.56199604,1.0164797
0 days 00:00:00.650000,0.28344148,0.51923543,1.142318
0 days 00:00:00.660000,0.25411993,0.50823987,1.1032226
0 days 00:00:00.670000,0.15515977,0.46181414,0.9798279
0 days 00:00:00.680000,0.2125811,0.43004912,0.8698721
