time,x,y,z
0 days 00:00:00,0.5510005,-0.015882496,0.058643065
0 days 00:00:00.010000,0.7648033,-0.036651913,0.07452556
0 days 00:00:00.020000,0.8735373,-0.073303826,0.09040806
0 days 00:00:00.030000,0.91874135,-0.13072516,0.07819075
0 days 00:00:00.040000,0.766025,-0.16249016,-0.0036651916
0 days 00:00:00.050000,0.32742378,-0.2443461,-0.12217305
0 days 00:00:00.060000,-0.013439035,-0.3115413,-0.24678956
0 days 00:00:00.070000,-0.23579398,-0.32375857,-0.30787608
0 days 00:00:00.080000,-0.3005457,-0.3555236,-0.33964106
0 days 00:00:00.090000,-0.087964594,-0.3567453,-0.39950588
0 days 00:00:00.100000,0.19058995,-0.3885103,-0.4361578
0 days 00:00:00.110000,0.46792278,-0.4447099,-0.47647488
0 days 00:00:00.120000,0.56077427,-0.48991394,-0.53878313
0 days 00:00:00.130000,0.48380527,-0.5497787,-0.6218608
0 days 00:00:00.140000,0.44348818,-0.54733527,-0.70249504
0 days 00:00:00.150000,0.3115413,-0.5326745,-0.73426
0 days 00:00:00.160000,0.16249016,-0.5290093,-0.766025
0 days 00:00:00.170000,0.081855945,-0.5045747,-0.79534656
0 days 00:00:00.180000,-0.09896017,-0.44837508,-0.7892379
0 days 00:00:00.190000,-0.4251622,-0.39095375,-0.77457714
0 days 00:00:00.200000,-0.7086037,-0.32498032,-0.77824235
0 days 00:00:00.210000,-0.9602802,-0.25900686,-0.7672467
0 days 00:00:00.220000,-0.9859365,-0.17837265,-0.7440339
0 days 00:00:00.230000,-0.9615019,-0.08552113,-0.7098254
0 days 00:00:00.240000,-0.91629785,-0.0012217305,-0.68539083
0 days 00:00:00.250000,-0.75991637,0.05375614,-0.6792821
0 days 00:00:00.260000,-0.64873886,0.11362094,-0.6560693
0 days 00:00:00.270000,-0.57543504,0.095294975,-0.6096435
0 days 00:00:00.280000,-0.49357912,0.09407325,-0.5766568
0 days 00:00:00.290000,-0.40561453,0.081855945,-0.54000485
0 days 00:00:00.300000,-0.16615535,0.103847094,-0.44226643
0 days 00:00:00.310000,0.13683382,0.1160644,-0.31031954
0 days 00:00:00.320000,0.4288274,0.10873401,-0.21380283
0 days 00:00:00.330000,0.7831292,0.112399206,-0.14660765
0 days 00:00:00.340000,1.1215485,0.112399206,-0.064751714
0 days 00:00:00.350000,1.1447614,0.15393804,0.007330383
0 days 00:00:00.360000,0.82344633,0.15760323,0.035430185
0 days 00:00:00.370000,0.68294734,0.17837265,0.015882496
0 days 00:00:00.380000,0.6230826,0.24923302,0.029321533
0 days 00:00:00.390000,0.5571091,0.28344148,0.0842994
0 days 00:00:00.400000,0.6426302425,0.30360004,0.13561208
0 days 00:00:00.410000,0.728151385,0.3237586,0.18692476
0 days 00:00:00.420000,0.63163465,0.4007276,0.26633725
0 days 00:00:00.430000,0.118507855,0.43493605,0.24678956
0 days 00:00:00.440000,-0.6462954,0.42638394,0.21013765
0 days 00:00:00.450000,-1.1630874,0.37873647,0.2321288
0 days 00:00:00.460000,-1.2253957,0.4166101,0.4092797
0 days 00:00:00.470000,-0.64873886,0.43982297,0.9126327
0 days 00:00:00.480000,-0.08674286,0.41538838,0.8393288
0 days 00:00:00.490000,0.31887165,0.4373795,0.45570546
0 days 00:00:00.500000,0.5290093,0.48991394,0.54000485
0 days 00:00:00.510000,0.34086280825000004,0.4783074925,0.5983425
0 days 00:00:00.520000,0.1527163165,0.466701045,0.65668015
0 days 00:00:00.530000,-0.04520403,0.40561453,0.7086037
