time,x,y,z
0 days 00:00:00,1.1472049,-0.06963864,0.07574729
0 days 00:00:00.010000,1.0604621,-0.07452556,0.030543262
0 days 00:00:00.020000,0.75869465,-0.09407325,0.040317107
0 days 00:00:00.030000,0.5045747,-0.12217305,0.056199603
0 days 00:00:00.040000,0.35063666,-0.1563815,0.032986723
0 days 00:00:00.050000,0.4361578,-0.19303341,-0.0036651916
0 days 00:00:00.060000,0.84788096,-0.20769419,-0.04153884
0 days 00:00:00.070000,1.1997393,-0.21991149,-0.058643065
0 days 00:00:00.080000,1.2095132,-0.1966986,-0.07452556
0 days 00:00:00.090000,0.84788096,-0.19058995,-0.12705997
0 days 00:00:00.100000,0.30298916,-0.19547687,-0.21991149
0 days 00:00:00.110000,-0.18325958,-0.21868975,-0.29565877
0 days 00:00:00.120000,-0.44593164,-0.22113322,-0.35918877
0 days 00:00:00.130000,-0.40317106,-0.21502456,-0.4288274
0 days 00:00:00.140000,-0.19333884750000002,-0.1988366325,-0.46486845
0 days 00:00:00.150000,0.016493364999999996,-0.18264870500000002,-0.5009095
0 days 00:00:00.160000,0.3323107,-0.15760323,-0.5815437
0 days 00:00:00.170000,0.30298916,-0.15271631,-0.6377433
0 days 00:00:00.180000,0.15271631,-0.14905111,-0.675617
0 days 00:00:00.190000,0.13072516,-0.13439035,-0.72326446
0 days 00:00:00.200000,0.15882497,-0.1282817,-0.7489208
0 days 00:00:00.210000,0.29565877,-0.095294975,-0.7452556
0 days 00:00:00.220000,0.49846604,0.010995574,-0.72326446
0 days 00:00:00.230000,0.49846604,0.010995574,-0.72326446
0 days 00:00:00.240000,0.30298916,0.059864793,-0.6780604
0 days 00:00:00.250000,-0.040317107,0.13561209,-0.6560693
0 days 00:00:00.260000,-0.7281514,0.1881465,-0.6450737
0 days 00:00:00.270000,-1.4819591,0.30298916,-0.6450737
0 days 00:00:00.280000,-1.3707817,0.35796702,-0.6377433
0 days 00:00:00.290000,-1.102001,0.43004912,-0.6230826
0 days 00:00:00.300000,-0.6658431,0.45204028,-0.643852
0 days 00:00:00.310000,-0.15271631,0.42271876,-0.60231316
0 days 00:00:00.320000,-0.039095376,0.4202753,-0.5693264
0 days 00:00:00.330000,-0.1441642,0.3481932,-0.53878313
0 days 00:00:00.340000,-0.10140363,0.344528,-0.47036624
0 days 00:00:00.350000,0.056199603,0.35796702,-0.39095375
0 days 00:00:00.360000,0.19058995,0.38240165,-0.32742378
0 days 00:00:00.370000,0.5021312,0.39706242,-0.25900686
0 days 00:00:00.380000,0.96883225,0.43004912,-0.15027285
0 days 00:00:00.390000,1.2889256,0.43249258,-0.04886922
0 days 00:00:00.400000,1.3842206,0.4092797,0.02321288
0 days 00:00:00.410000,1.4208726,0.3494149,0.065973446
0 days 00:00:00.420000,1.5088371,0.30298916,0.07574729
0 days 00:00:00.430000,1.4795157,0.24556783,0.105068825
0 days 00:00:00.440000,1.5442673,0.20158553,0.16493362
0 days 00:00:00.450000,1.8350391,0.27122417,0.22602014
0 days 00:00:00.460000,1.8289305,0.36285394,0.267559
0 days 00:00:00.470000,1.5076154,0.35430184,0.29077184
0 days 00:00:00.480000,1.1520919,0.3286455,0.29077184
0 days 00:00:00.490000,0.6621779,0.32620203,0.26267207
0 days 00:00:00.500000,0.204029,0.26145032,0.23335053
0 days 00:00:00.510000,-0.037873644,0.25534168,0.2125811
0 days 00:00:00.520000,-0.172264,0.31764993,0.20769419
0 days 00:00:00.530000,-0.30543262,0.36651915,0.20280726
0 days 00:00:00.540000,-0.7684685,0.42638394,0.15882497
0 days 00:00:00.550000,-1.6737708,0.41538838,0.14660765
0 days 00:00:00.560000,-2.1013765,0.28955013,0.21746802
0 days 00:00:00.570000,-1.9230038,0.29932398,0.24556783
0 days 00:00:00.580000,-1.4978416,0.26511553,0.25289822
0 days 00:00:00.590000,-0.9370673,0.2565634,0.28099802
0 days 00:00:00.600000,-0.5497787,0.29565877,0.34697145
0 days 00:00:00.610000,-0.20647246,0.3005457,0.43982297
0 days 00:00:00.620000,0.35063666,0.23579398,0.548557
0 days 00:00:00.630000,0.90041536,0.30298916,0.6719518
0 days 00:00:00.640000,0.8906415,0.31520647,0.87598073
0 days 00:00:00.650000,0.13805555,0.30298916,0.83199847
0 days 00:00:00.660000,-0.04886922,0.32742378,0.643852
0 days 00:00:00.670000,0.12339478,0.3555236,0.75747293
0 days 00:00:00.680000,0.0720821,0.3481932,0.8222246
0 days 00:00:00.690000,0.19181168,0.3640757,0.7049385
0 days 00:00:00.700000,0.45204028,0.3885103,0.6951646
0 days 00:00:00.710000,0.5290093,0.39950588,0.77824235
0 days 00:00:00.720000,0.27977628,0.35185838,0.77579886
0 days 00:00:00.730000,0.16982053,0.3640757,0.7635816
0 days 00:00:00.740000,0.206167015,0.399200445,0.827417
0 days 00:00:00.750000,0.2425135,0.43432519,0.8912524
0 days 00:00:00.760000,0.23457226,0.43249258,0.87598073
0 days 00:00:00.770000,0.31887165,0.42149702,0.86132
0 days 00:00:00.780000,0.267559,0.38362336,0.84788096
0 days 00:00:00.790000,0.39828414,0.45570546,0.88331115
0 days 00:00:00.800000,0.35185838,0.4007276,0.91751957
0 days 00:00:00.810000,0.5314528,0.38240165,1.001819
0 days 00:00:00.820000,0.10629055,0.35796702,1.1899655
0 days 00:00:00.830000,0.31764993,0.37751472,1.2009611
0 days 00:00:00.840000,0.4437936025,0.394008085,1.2421945
0 days 00:00:00.850000,0.569937275,0.41050145,1.2834279
0 days 00:00:00.860000,0.87598073,0.5375614,1.3683381
0 days 00:00:00.870000,0.5784893675,0.5174028575,1.362840325
0 days 00:00:00.880000,0.280998005,0.497244315,1.35734255
0 days 00:00:00.890000,0.05925392400000001,0.4404338425,1.34787415
0 days 00:00:00.900000,-0.162490157,0.38362337,1.33840575
0 days 00:00:00.910000,-0.27488935,0.17959438,1.0458013
0 days 00:00:00.920000,-0.35185838,0.05131268,0.8881981
0 days 00:00:00.930000,-0.30787608,0.03176499,0.8197812
0 days 00:00:00.940000,-0.26145032,0.02565634,0.8222246
0 days 00:00:00.950000,-0.21135938,-0.007330383,0.53878313
0 days 00:00:00.960000,-0.015882499999999994,-0.047036625000000006,0.3347541475
0 days 00:00:00.970000,0.17959438,-0.086742867,0.130725165
0 days 00:00:00.980000,-0.1563815,-0.2932153,-0.25900686
0 days 00:00:00.990000,-0.45204028,-0.4166101,-0.5852089
0 days 00:00:01,-0.6072,-0.5204572,-0.84299403
0 days 00:00:01.010000,-0.625526,-0.6169739,-1.1716396
0 days 00:00:01.020000,-0.39217547750000004,-0.6160576,-1.36803275
0 days 00:00:01.030000,-0.158824955,-0.6151413,-1.5644259
0 days 00:00:01.040000,0.35308012,-0.5681047,-1.6077974
0 days 00:00:01.050000,0.24556783,-0.5681047,-1.5577064
0 days 00:00:01.060000,-0.021991149,-0.70371675,-1.6481144
0 days 00:00:01.070000,0.0455094595,-0.6927211849999999,-1.523497925
0 days 00:00:01.080000,0.11301006799999999,-0.6817256199999999,-1.3988814500000002
0 days 00:00:01.090000,0.15027285,-0.66828656,-1.1972959
0 days 00:00:01.100000,0.6743952,-0.59864795,-1.073901
0 days 00:00:01.110000,0.49846604,-0.6218608,-0.88453287
0 days 00:00:01.120000,0.08552113,-0.7257079,-1.0067059
0 days 00:00:01.130000,-0.3213151,-0.8002335,-1.1264355
0 days 00:00:01.140000,-0.70616025,-0.8381071,-1.2412782
0 days 00:00:01.150000,-0.004886922,-0.6206391,-1.1704178
0 days 00:00:01.160000,0.5131268,-0.40683624,-0.86376345
0 days 00:00:01.170000,0.3286455,-0.3726278,-0.8197812
0 days 00:00:01.180000,0.105068825,-0.41416663,-0.8332202
0 days 00:00:01.190000,-0.5326745,-0.45448375,-0.75869465
0 days 00:00:01.200000,-0.9651671,-0.57543504,-0.8979719
0 days 00:00:01.210000,-0.72326446,-0.5656612,-0.87109387
0 days 00:00:01.220000,-0.267559,-0.46670106,-0.7635816
0 days 00:00:01.230000,-0.06719518,-0.47036624,-0.7611381
0 days 00:00:01.240000,0.21868975,-0.453262,-0.5705481
0 days 00:00:01.250000,0.09896017,-0.41172317,-0.25045475
0 days 00:00:01.260000,0.112399206,-0.516792,-0.13805555
0 days 00:00:01.270000,-0.04153884,-0.5119051,-0.2687807
0 days 00:00:01.280000,-0.19669861,-0.48533245,-0.21380283249999998
0 days 00:00:01.290000,-0.35185838,-0.4587598,-0.158824965
0 days 00:00:01.300000,-0.10751228,-0.45937067,-0.09285152
0 days 00:00:01.310000,0.43890668499999996,-0.47616946,-0.0394008095
0 days 00:00:01.320000,0.98532565,-0.49296825,0.014049901000000002
0 days 00:00:01.330000,1.6493362,-0.4447099,0.035430185
0 days 00:00:01.340000,1.4905112,-0.45081854,0.11728613
0 days 00:00:01.350000,1.205848,-0.39370264,0.15974126
0 days 00:00:01.360000,0.9211848,-0.33658674,0.20219639
0 days 00:00:01.370000,0.85857111,-0.2388483075,0.14355333
0 days 00:00:01.380000,0.7959574199999999,-0.141109875,0.08491027
0 days 00:00:01.390000,1.102001,-0.15393804,0.12461651
0 days 00:00:01.400000,1.13773655,-0.11453723125,0.11270463750000001
0 days 00:00:01.410000,1.1734721000000001,-0.0751364225,0.100792765
0 days 00:00:01.420000,0.6038402725,-0.04825835325,0.0992656025
0 days 00:00:01.430000,0.034208444999999976,-0.021380284,0.09773844
0 days 00:00:01.440000,-0.64751714,-0.017104227,0.04886922
0 days 00:00:01.450000,-0.71593404,-0.06963864,-0.014660766
0 days 00:00:01.460000,-0.6401868,-0.10751228,-0.032986723
0 days 00:00:01.470000,-0.52656585,-0.10751228,-0.035430185
0 days 00:00:01.480000,-0.3726278,-0.073303826,-0.081855945
0 days 00:00:01.490000,-0.44257188000000003,-0.03726277825,-0.10140363124999999
0 days 00:00:01.500000,-0.51251596,-0.0012217305000000005,-0.12095131749999999
0 days 00:00:01.510000,-1.1850786,0.0036651916,-0.058643065
0 days 00:00:01.520000,-1.4770721,-0.010995574,-0.037873644
0 days 00:00:01.530000,-1.5247196,-0.064751714,-0.034208454
0 days 00:00:01.540000,-1.2840388,-0.12217305,-0.02321288
0 days 00:00:01.550000,-0.99204516,-0.10140363,-0.03176499
0 days 00:00:01.560000,-0.893085,-0.10751228,-0.021991149
0 days 00:00:01.570000,-0.49846604,-0.13439035,-0.014660766
0 days 00:00:01.580000,-0.17592919,-0.042760566,-0.05497787
0 days 00:00:01.590000,-0.48624873,-0.03176499,-0.04153884
0 days 00:00:01.600000,-0.91751957,-0.062308256,-0.02076942
0 days 00:00:01.610000,-0.97127575,-0.040317107,-0.06352998
0 days 00:00:01.620000,-0.7318166,-0.007330383,-0.07819075
0 days 00:00:01.630000,-0.51068336,0.02687807,-0.065973446
0 days 00:00:01.640000,-0.42638394,0.02443461,-0.036651913
0 days 00:00:01.650000,-0.07452556,-0.009773844,-0.056199603
0 days 00:00:01.660000,0.4654793,0.015882496,-0.103847094
0 days 00:00:01.670000,0.5180137,0.039095376,-0.065973446
0 days 00:00:01.680000,0.2443461,0.037873644,-0.002443461
0 days 00:00:01.690000,0.017104227,0.05131268,-0.0061086523
0 days 00:00:01.700000,-0.02076942,0.07819075,-0.02076942
0 days 00:00:01.710000,-0.029321533,0.13561209,-0.015882496
0 days 00:00:01.720000,-0.08307768,0.17592919,0.010995574
0 days 00:00:01.730000,-0.057421334,0.2406809,0.0061086523
0 days 00:00:01.740000,-0.18692477,0.28099802,0.004886922
0 days 00:00:01.750000,-0.312763,0.29810223,0.02321288
0 days 00:00:01.760000,-0.4166101,0.31031954,0.028099801
0 days 00:00:01.770000,-0.5375614,0.28710666,0.034208454
0 days 00:00:01.780000,-0.5534439,0.26267207,0.047647487
0 days 00:00:01.790000,-0.35918877,0.25289822,0.037873644
0 days 00:00:01.800000,-0.17959438,0.2406809,0.013439035
0 days 00:00:01.810000,0.1441642,0.2443461,0.028099801
0 days 00:00:01.820000,0.38240165,0.28344148,0.056199603
0 days 00:00:01.830000,0.27000242,0.2919936,0.1001819
0 days 00:00:01.840000,0.0,0.29810223,0.14049901
