time,x,y,z
0 days 00:00:00,-0.5326745,0.07819075,-0.0061086523
0 days 00:00:00.010000,-0.36896262,0.06963864,-0.017104227
0 days 00:00:00.020000,-0.2284636,0.028099801,-0.03176499
0 days 00:00:00.030000,-0.087964594,-0.02687807,-0.0842994
0 days 00:00:00.040000,-0.052534413,-0.08307768,-0.16737708
0 days 00:00:00.050000,-0.02076942,-0.12950343,-0.24678956
0 days 00:00:00.060000,0.12950343,-0.15760323,-0.31642818
0 days 00:00:00.070000,0.35185838,-0.15393804,-0.36285394
0 days 00:00:00.080000,0.5375614,-0.1600467,-0.37140608
0 days 00:00:00.090000,0.83199847,-0.17715092,-0.37018433
0 days 00:00:00.100000,1.0983357,-0.1881465,-0.40194935
0 days 00:00:00.110000,1.0360274,-0.22479841,-0.46303585
0 days 00:00:00.120000,0.8539896,-0.24923302,-0.5216789
0 days 00:00:00.130000,0.75625116,-0.27000242,-0.56688297
0 days 00:00:00.140000,0.802066055,-0.27366761500000003,-0.592539295
0 days 00:00:00.150000,0.84788095,-0.27733281,-0.6181956200000001
0 days 00:00:00.160000,0.56321776,-0.26267207,-0.57910025
0 days 00:00:00.170000,0.49968776,-0.2687807,-0.52412236
0 days 00:00:00.180000,0.48624873,-0.27122417,-0.51068336
0 days 00:00:00.190000,0.18325958,-0.28588495,-0.54611355
0 days 00:00:00.200000,-0.18325958,-0.26511553,-0.60231316
0 days 00:00:00.210000,-0.46792278,-0.20158553,-0.6365216
0 days 00:00:00.220000,-0.7635816,-0.12583824,-0.61819565
0 days 00:00:00.230000,-1.0848967,-0.073303826,-0.5729916
0 days 00:00:00.240000,-1.0128145,0.002443461,-0.5864306
0 days 00:00:00.250000,-0.16493362,0.029321533,-0.6646214
0 days 00:00:00.260000,0.49480084,0.043982297,-0.6585127
0 days 00:00:00.270000,0.6243043,0.04153884,-0.6072
0 days 00:00:00.280000,0.50701815,0.030543262,-0.5143485
0 days 00:00:00.290000,0.46303585,0.037873644,-0.44104472
0 days 00:00:00.300000,0.5546656,-0.0036651916,-0.408058
0 days 00:00:00.310000,0.73914695,-0.014660766,-0.35918877
0 days 00:00:00.320000,0.8454375,-0.013439035,-0.29565877
0 days 00:00:00.330000,0.80878556,0.012217305,-0.25411993
0 days 00:00:00.340000,0.5338962,0.06719518,-0.172264
0 days 00:00:00.350000,0.2968805,0.10751228,-0.073303826
0 days 00:00:00.360000,0.31887165,0.13072516,-0.058643065
0 days 00:00:00.370000,0.2883284,0.13683382,-0.04886922
0 days 00:00:00.380000,0.68294734,0.17715092,0.05375614
0 days 00:00:00.390000,0.68294734,0.17715092,0.05375614
0 days 00:00:00.400000,0.4728097,0.16493362,0.10262536
0 days 00:00:00.410000,0.29077184,0.21868975,0.17837265
0 days 00:00:00.420000,0.6035349,0.2919936,0.17470746
0 days 00:00:00.430000,0.5412266,0.28221974,0.14172074
0 days 00:00:00.440000,0.3921755,0.25411993,0.14049901
0 days 00:00:00.450000,0.27366763,0.2565634,0.19547687
0 days 00:00:00.460000,0.13072516,0.22724187,0.23579398
0 days 00:00:00.470000,-0.034208454,0.22479841,0.26633725
0 days 00:00:00.480000,0.002443461,0.27122417,0.31642818
0 days 00:00:00.490000,0.27000242,0.31887165,0.3359759
0 days 00:00:00.500000,0.15760323,0.31520647,0.32498032
0 days 00:00:00.510000,-0.19181168,0.30298916,0.35063666
0 days 00:00:00.520000,-0.8527679,0.24312437,0.44715336
0 days 00:00:00.530000,-1.1765264,0.1881465,0.6010914
0 days 00:00:00.540000,-0.72082096,0.17104226,0.5742133
0 days 00:00:00.550000,-0.1563815,0.22479841,0.5021312
0 days 00:00:00.560000,-0.032986723,0.27488935,0.4642576
0 days 00:00:00.570000,-0.081855945,0.34574974,0.48380527
0 days 00:00:00.580000,-0.034208454,0.39706242,0.5009095
0 days 00:00:00.590000,-0.052534413,0.3921755,0.50946164
0 days 00:00:00.600000,0.05375614,0.37751472,0.55833083
0 days 00:00:00.610000,-0.10873401,0.35918877,0.5558874
0 days 00:00:00.620000,-0.32498032,0.3567453,0.52290064
0 days 00:00:00.630000,-0.3359759,0.3933972,0.50701815
0 days 00:00:00.640000,-0.24190263,0.44593164,0.50701815
0 days 00:00:00.650000,0.07819075,0.50823987,0.5363397
0 days 00:00:00.660000,0.16249016,0.5119051,0.6206391
0 days 00:00:00.670000,0.039095376,0.49357912,0.72326446
0 days 00:00:00.680000,-0.13072516,0.4654793,0.72082096
0 days 00:00:00.690000,-0.2284636,0.44959682,0.65118235
0 days 00:00:00.700000,-0.2602286,0.41783184,0.5705481
0 days 00:00:00.710000,-0.0061086523,0.47403142,0.6072
0 days 00:00:00.720000,0.24312437,0.5815437,0.70371675
0 days 00:00:00.730000,0.1160644,0.63163465,0.7489208
0 days 00:00:00.740000,-0.057421334,0.63529986,0.7819075
0 days 00:00:00.750000,-0.34208453,0.57787853,0.78801614
