time,x,y,z
0 days 00:00:00,-0.43127087,-0.172264,-0.018325957
0 days 00:00:00.010000,-0.45540005,-0.17043140499999998,-0.022296581250000003
0 days 00:00:00.020000,-0.47952923000000003,-0.16859881,-0.0262672055
0 days 00:00:00.030000,-0.6951646,-0.17470746,-0.06352998
0 days 00:00:00.040000,-0.7648033,-0.14782938,-0.09773844
0 days 00:00:00.050000,-0.906524,-0.14172074,-0.096516706
0 days 00:00:00.060000,-0.9114109,-0.16737708,-0.096516706
0 days 00:00:00.070000,-0.72692966,-0.21013765,-0.13194689
0 days 00:00:00.080000,-0.3567453,-0.27122417,-0.16615535
0 days 00:00:00.090000,-0.057421334,-0.28955013,-0.2003638
0 days 00:00:00.100000,-0.080634214,-0.2846632,-0.18692477
0 days 00:00:00.110000,-0.103847094,-0.28099802,-0.14538592
0 days 00:00:00.120000,0.0061086523,-0.2687807,-0.112399206
0 days 00:00:00.130000,-0.002443461,-0.31031954,-0.08674286
0 days 00:00:00.140000,0.09285152,-0.39950588,-0.12339478
0 days 00:00:00.150000,0.2919936,-0.4569272,-0.20891592
0 days 00:00:00.160000,0.4050036625,-0.4633412925,-0.23793201000000003
0 days 00:00:00.170000,0.518013725,-0.469755385,-0.2669481
0 days 00:00:00.180000,0.4824477933333333,-0.4380582622222222,-0.2576493777777778
0 days 00:00:00.190000,0.44688186166666666,-0.40636113944444446,-0.24835065555555555
0 days 00:00:00.200000,0.41131593,-0.37466401666666665,-0.23905193333333333
0 days 00:00:00.210000,-0.0036651916,-0.3286455,-0.2003638
0 days 00:00:00.220000,-0.017104227,-0.3323107,-0.22724187
0 days 00:00:00.230000,0.032986723,-0.33353242,-0.23823744
0 days 00:00:00.240000,0.014660766,-0.31520647,-0.2321288
0 days 00:00:00.250000,-0.03634648075000001,-0.3023782975,-0.2321288
0 days 00:00:00.260000,-0.0873537275,-0.289550125,-0.2321288
0 days 00:00:00.270000,-0.2125811,-0.20647246,-0.20769419
0 days 00:00:00.280000,-0.5448918,-0.17592919,-0.1685988
0 days 00:00:00.290000,-0.7611381,-0.15760323,-0.17715092
0 days 00:00:00.300000,-0.8417723,-0.14538592,-0.19303341
0 days 00:00:00.310000,-0.8197812,-0.16493362,-0.16737708
0 days 00:00:00.320000,-0.6206391,-0.2003638,-0.11728613
0 days 00:00:00.330000,-0.31398472,-0.23335053,-0.07452556
0 days 00:00:00.340000,-0.030543262,-0.2443461,-0.058643065
0 days 00:00:00.350000,0.17715092,-0.25167647,-0.028099801
0 days 00:00:00.360000,0.112399206,-0.19181168,0.0012217305
0 days 00:00:00.370000,-0.3371976,-0.13683382,0.012217305
0 days 00:00:00.380000,-0.630107475,-0.157603235,0.031154127499999996
0 days 00:00:00.390000,-0.9230173500000001,-0.17837265,0.050090949999999995
0 days 00:00:00.400000,-1.0115929,-0.16371189,0.058643065
0 days 00:00:00.410000,-0.8136725,-0.19303341,0.06963864
0 days 00:00:00.420000,-0.3005457,-0.1685988,0.12705997
0 days 00:00:00.430000,0.13561209,-0.12095132,0.18936823
0 days 00:00:00.440000,0.3115413,-0.13439035,0.2284636
0 days 00:00:00.450000,0.17715092,-0.14294247,0.2565634
0 days 00:00:00.460000,0.062308253499999994,-0.13500121999999998,0.25778513000000003
0 days 00:00:00.470000,-0.052534413,-0.12705997,0.25900686
0 days 00:00:00.480000,-0.33353242,-0.12217305,0.22357668
0 days 00:00:00.490000,-0.3614286033333334,-0.09896016883333333,0.23233241500000001
0 days 00:00:00.500000,-0.3893247866666667,-0.07574728766666666,0.24108815000000003
0 days 00:00:00.510000,-0.27855456,-0.040317107,0.2932153
0 days 00:00:00.520000,-0.18325958,-0.043982297,0.31887165
0 days 00:00:00.530000,-0.25167647,0.010995574,0.34208453
0 days 00:00:00.540000,-0.7244862,-0.05131268,0.27366763
0 days 00:00:00.550000,-0.45570546,-0.06963864,0.036651913
0 days 00:00:00.560000,-0.3652974075,-0.01893682325,0.3194825265
0 days 00:00:00.570000,-0.274889355,0.0317649935,0.60231314
0 days 00:00:00.580000,-0.13683381225,0.03298672375,0.653014945
0 days 00:00:00.590000,0.0012217305,0.034208454,0.70371675
0 days 00:00:00.600000,-0.0390953755,0.07696902,0.806342095
0 days 00:00:00.610000,-0.21594085524999998,0.07391469425,0.8542950225
0 days 00:00:00.620000,-0.392786335,0.07086036849999999,0.90224795
0 days 00:00:00.630000,-0.49602258,0.06841691,0.79779
0 days 00:00:00.640000,-0.3995058775,0.1078177175,0.8277224075
0 days 00:00:00.650000,-0.302989175,0.147218525,0.857654815
0 days 00:00:00.660000,-0.030543262,0.18203785,0.874759
0 days 00:00:00.670000,0.017104227,0.21380283,0.9126327
0 days 00:00:00.680000,-0.21746802,0.2003638,0.9138544
