time,x,y,z
0 days 00:00:00,0.36285394,-0.058643065,0.0
0 days 00:00:00.010000,0.089186326,-0.05375614,0.021991149
0 days 00:00:00.020000,-0.24923302,-0.059864793,-0.021991149
0 days 00:00:00.030000,-0.49846604,-0.07574729,-0.047647487
0 days 00:00:00.040000,-0.54244834,-0.089186326,-0.030543262
0 days 00:00:00.050000,-0.4129449,-0.119729586,-0.013439035
0 days 00:00:00.060000,-0.15760323,-0.15149458,-0.04886922
0 days 00:00:00.070000,0.05131268,-0.17715092,-0.1001819
0 days 00:00:00.080000,0.056199603,-0.18325958,-0.112399206
0 days 00:00:00.090000,-0.13561209,-0.21380283,-0.096516706
0 days 00:00:00.100000,-0.267559,-0.23823744,-0.10873401
0 days 00:00:00.110000,-0.35063666,-0.23090707,-0.12583824
0 days 00:00:00.120000,-0.453262,-0.22724187,-0.119729586
0 days 00:00:00.130000,-0.33475417,-0.24556783,-0.11484267
0 days 00:00:00.140000,0.043982297,-0.24923302,-0.14905111
0 days 00:00:00.150000,0.3323107,-0.2919936,-0.17592919
0 days 00:00:00.160000,0.5021312,-0.32498032,-0.17837265
0 days 00:00:00.170000,0.44837508,-0.32375857,-0.1685988
0 days 00:00:00.180000,0.15393804,-0.37507126,-0.17592919
0 days 00:00:00.190000,-0.052534413,-0.40317106,-0.22602014
0 days 00:00:00.200000,-0.17837265,-0.4092797,-0.23335053
0 days 00:00:00.210000,-0.16126843,-0.44959682,-0.22235495
0 days 00:00:00.220000,0.057421334,-0.49602258,-0.24801129
0 days 00:00:00.230000,0.4007276,-0.54244834,-0.27000242
0 days 00:00:00.240000,0.5143485,-0.54611355,-0.25167647
0 days 00:00:00.250000,0.33841935,-0.59864795,-0.21868975
0 days 00:00:00.260000,0.17470746,-0.61941737,-0.2321288
0 days 00:00:00.270000,-0.07696902,-0.6206391,-0.24312437
0 days 00:00:00.280000,-0.22968534,-0.6585127,-0.22357668
0 days 00:00:00.290000,-0.04153884,-0.6243043,-0.22235495
0 days 00:00:00.300000,0.12461651,-0.56321776,-0.20525073
0 days 00:00:00.310000,0.064751714,-0.52656585,-0.18081611
0 days 00:00:00.320000,-0.1881465,-0.47158796,-0.19425514
0 days 00:00:00.330000,-0.7440339,-0.3811799,-0.21991149
0 days 00:00:00.340000,-1.4880677,-0.30298916,-0.20280726
0 days 00:00:00.350000,-2.1001546,-0.2565634,-0.172264
0 days 00:00:00.360000,-2.0952678,-0.18570304,-0.19547687
0 days 00:00:00.370000,-1.704314,-0.036651913,-0.27122417
0 days 00:00:00.380000,-1.3756685,0.002443461,-0.28344148
0 days 00:00:00.390000,-0.8918633,0.010995574,-0.21624629
0 days 00:00:00.400000,-0.54733527,0.04153884,-0.14538592
0 days 00:00:00.410000,-1.0262536,0.02687807,-0.12461651
0 days 00:00:00.420000,-1.5076154,-0.018325957,-0.09040806
0 days 00:00:00.430000,-1.5222762,0.02443461,-0.04642576
0 days 00:00:00.440000,-1.2253957,0.02565634,-0.11362094
0 days 00:00:00.450000,-0.5644395,0.096516706,-0.24923302
0 days 00:00:00.460000,-0.14049901,0.1966986,-0.042760566
0 days 00:00:00.470000,0.065973446,0.23945917,0.19792034
0 days 00:00:00.480000,-0.21380283,0.40317106,0.81000733
0 days 00:00:00.490000,-0.21380283,0.40317106,0.81000733
0 days 00:00:00.500000,-0.6560693,0.2883284,0.74036866
0 days 00:00:00.510000,-0.8735373,0.2932153,0.91874135
0 days 00:00:00.520000,-0.7623598,0.32498032,0.9602802
0 days 00:00:00.530000,-0.52778757,0.39461896,0.95172805
0 days 00:00:00.540000,-0.34208453,0.40561453,1.0225884
0 days 00:00:00.550000,-0.12461651,0.42760566,1.1032226
0 days 00:00:00.560000,-0.105068825,0.42394048,1.1508701
0 days 00:00:00.570000,-0.18325958,0.38606682,1.1569787
0 days 00:00:00.580000,-0.3371976,0.26633725,1.1655309
0 days 00:00:00.590000,-0.5021312,0.23090707,1.142318
0 days 00:00:00.600000,-0.41538838,0.22602014,1.0897835
0 days 00:00:00.610000,-0.18692477,0.21868975,1.0946705
0 days 00:00:00.620000,0.040317107,0.16493362,1.1386528
0 days 00:00:00.630000,0.06841691,0.1282817,1.1948525
0 days 00:00:00.640000,-0.3371976,0.11362094,1.2278391
0 days 00:00:00.650000,-0.57787853,0.15882497,1.1655309
0 days 00:00:00.660000,-0.56077427,0.21380283,1.001819
0 days 00:00:00.670000,-0.29810223,0.16493362,0.9456194
0 days 00:00:00.680000,0.10262536,0.19914207,0.8539896
0 days 00:00:00.690000,0.119729586,0.2406809,0.7318166
0 days 00:00:00.700000,-0.1160644,0.22235495,0.6462954
0 days 00:00:00.710000,-0.27000242,0.17959438,0.5497787
0 days 00:00:00.720000,-0.28955013,0.1685988,0.43249258
0 days 00:00:00.730000,-0.4361578,0.1282817,0.28221974
0 days 00:00:00.740000,-0.34697145,0.13683382,0.22235495
0 days 00:00:00.750000,-0.3115413,0.08307768,0.087964594
