time,x,y,z
0 days 00:00:00,-0.17959438,0.12705997,-0.10629055
0 days 00:00:00.010000,0.04642576,0.09896017,-0.15271631
0 days 00:00:00.020000,0.12095132,0.062308256,-0.204029
0 days 00:00:00.030000,-0.06352998,0.028099801,-0.22602014
0 days 00:00:00.040000,-0.10995574,0.018325957,-0.23823744
0 days 00:00:00.050000,-0.09040806,-0.008552114,-0.26267207
0 days 00:00:00.060000,-0.16982053,-0.09162979,-0.33841935
0 days 00:00:00.070000,-0.21746802,-0.1685988,-0.3921755
0 days 00:00:00.080000,-0.12217305,-0.21624629,-0.4251622
0 days 00:00:00.090000,0.034208454,-0.25778514,-0.4642576
0 days 00:00:00.100000,0.35796702,-0.2919936,-0.45937067
0 days 00:00:00.110000,0.36346481,-0.30176744,-0.4636467225
0 days 00:00:00.120000,0.36896260000000003,-0.31154128000000003,-0.467922775
0 days 00:00:00.130000,0.45937067,-0.36285394,-0.5155703
0 days 00:00:00.140000,0.49602258,-0.40683624,-0.5363397
0 days 00:00:00.150000,0.4004221725,-0.43096542000000004,-0.557109115
0 days 00:00:00.160000,0.304821765,-0.4550946,-0.57787853
0 days 00:00:00.170000,0.6414085,-0.39706242,-0.52412236
0 days 00:00:00.180000,0.79779,-0.40683624,-0.5009095
0 days 00:00:00.190000,0.7770206,-0.43860126,-0.47769663
0 days 00:00:00.200000,0.7318166,-0.47036624,-0.47769663
0 days 00:00:00.210000,0.7684685,-0.49235737,-0.50579643
0 days 00:00:00.220000,0.9309586,-0.5119051,-0.49846604
0 days 00:00:00.230000,1.1533136,-0.51068336,-0.44715336
0 days 00:00:00.240000,1.282817,-0.49846604,-0.38240165
0 days 00:00:00.250000,1.2730432,-0.47158796,-0.35063666
0 days 00:00:00.260000,1.0372492,-0.46303585,-0.35185838
0 days 00:00:00.270000,0.7745771349999999,-0.457843495,-0.3488040525
0 days 00:00:00.280000,0.51190507,-0.45265114,-0.345749725
0 days 00:00:00.290000,0.04520403,-0.42271876,-0.36896262
0 days 00:00:00.300000,-0.07483098999999999,-0.3701843425,-0.370795215
0 days 00:00:00.310000,-0.19486600999999998,-0.317649925,-0.37262781
0 days 00:00:00.320000,-0.19547687,-0.18081611,-0.29443705
0 days 00:00:00.330000,-0.09896017,-0.05497787,0.02565634
0 days 00:00:00.340000,0.058643065,0.015882496,0.4447099
0 days 00:00:00.350000,0.22479841,0.028099801,0.593761
0 days 00:00:00.360000,0.21502456,0.04886922,0.112399206
0 days 00:00:00.370000,0.41905355,0.07086037,0.009773844
0 days 00:00:00.380000,0.32620203,0.073303826,0.28588495
0 days 00:00:00.390000,0.2861903675,0.09315694799999999,0.285274075
0 days 00:00:00.400000,0.246178705,0.11301006999999999,0.2846632
0 days 00:00:00.410000,0.41172317,0.172264,0.37507126
0 days 00:00:00.420000,0.42149702,0.17470746,0.3652974
0 days 00:00:00.430000,0.47647488,0.16249016,0.38362336
0 days 00:00:00.440000,0.47158796,0.14172074,0.46670106
0 days 00:00:00.450000,0.23090707,0.08552113,0.4813618
0 days 00:00:00.460000,-0.017104227,0.02565634,0.5705481
0 days 00:00:00.470000,0.051312679,0.0726929625,0.5962044500000001
0 days 00:00:00.480000,0.119729585,0.119729585,0.6218608000000001
0 days 00:00:00.490000,0.68783426,0.22602014,0.63285637
0 days 00:00:00.500000,0.501520365,0.22571470999999999,0.659429035
0 days 00:00:00.510000,0.31520647,0.22540928,0.6860017
0 days 00:00:00.520000,0.17837265,0.20769419,0.6609562
0 days 00:00:00.530000,0.1658499135,0.2021963975,0.6881397
0 days 00:00:00.540000,0.15332717699999998,0.196698605,0.7153232
0 days 00:00:00.550000,0.057421334,0.16982053,0.6133087
0 days 00:00:00.560000,-0.06841691,0.17470746,0.643852
0 days 00:00:00.570000,0.03176499,0.22479841,0.66950834
0 days 00:00:00.580000,0.05497787,0.24190263,0.6817256
0 days 00:00:00.590000,0.13683382,0.23823744,0.7098254
0 days 00:00:00.600000,0.2703078725,0.248927585,0.724486175
0 days 00:00:00.610000,0.403781925,0.25961773,0.7391469500000001
0 days 00:00:00.620000,0.45448375,0.24678956,0.7672467
0 days 00:00:00.630000,0.19914207,0.18448131,0.7049385
0 days 00:00:00.640000,0.065973446,0.18325958,0.6646214
0 days 00:00:00.650000,0.04886922,0.204029,0.7305948
0 days 00:00:00.660000,-0.02443461,0.204029,0.68539083
0 days 00:00:00.670000,0.22357668,0.24312437,0.6951646
0 days 00:00:00.680000,0.2321288,0.2443461,0.68539083
0 days 00:00:00.690000,0.23823744,0.24801129,0.73426
0 days 00:00:00.700000,0.14049900525,0.22235495,0.7296785375000001
0 days 00:00:00.710000,0.0427605705,0.19669861,0.7250970750000001
0 days 00:00:00.720000,-0.07086037,0.14049901,0.68661255
0 days 00:00:00.730000,-0.141109875,0.1178969925,0.6768387
0 days 00:00:00.740000,-0.21135938,0.095294975,0.66706485
0 days 00:00:00.750000,0.010995574,0.12461651,0.7049385
0 days 00:00:00.760000,0.21868975,0.16737708,0.72326446
0 days 00:00:00.770000,0.2968805,0.18203785,0.6951646
0 days 00:00:00.780000,0.19914207,0.1441642,0.70249504
0 days 00:00:00.790000,0.09040806,0.13683382,0.7464773
0 days 00:00:00.800000,0.15149458,0.17959438,0.81122905
0 days 00:00:00.810000,0.12461651,0.18692477,0.7244862
0 days 00:00:00.820000,0.29077184,0.19547687,0.6426302
0 days 00:00:00.830000,0.14538592,0.17348573,0.59864795
0 days 00:00:00.840000,-0.09896017,0.15882497,0.5876524
0 days 00:00:00.850000,-0.16982053,0.15882497,0.5290093
0 days 00:00:00.860000,0.08552113,0.17470746,0.46914452
0 days 00:00:00.870000,0.19547687,0.16126843,0.44715336
0 days 00:00:00.880000,0.20525073,0.1685988,0.47158796
0 days 00:00:00.890000,0.11362094,0.12950343,0.4166101
0 days 00:00:00.900000,0.172264,0.089186326,0.3323107
0 days 00:00:00.910000,0.16371189,0.047647487,0.25045475
0 days 00:00:00.920000,0.06719518,-0.010995574,0.16982053
0 days 00:00:00.930000,0.06352998,-0.06352998,0.09773844
0 days 00:00:00.940000,-0.07941248,-0.10751228,-0.002443461
0 days 00:00:00.950000,0.042760566,-0.08307768,-0.0036651916
0 days 00:00:00.960000,0.2565634,-0.05009095,0.07696902
0 days 00:00:00.970000,0.26145032,-0.029321533,0.02565634
0 days 00:00:00.980000,0.35430184,-0.007330383,-0.015882496
0 days 00:00:00.990000,0.17715092,-0.04520403,-0.02076942
0 days 00:00:01,-0.112399206,-0.1282817,-0.087964594
0 days 00:00:01.010000,-0.19792034,-0.1881465,-0.18448131
0 days 00:00:01.020000,-0.014660766,-0.17837265,-0.22113322
0 days 00:00:01.030000,0.1685988,-0.13683382,-0.14538592
0 days 00:00:01.040000,0.12461651,-0.10873401,-0.14660765
0 days 00:00:01.050000,0.17348573,-0.07086037,-0.20525073
0 days 00:00:01.060000,0.15149458,-0.065973446,-0.20158553
0 days 00:00:01.070000,0.087964594,-0.07452556,-0.18325958
0 days 00:00:01.080000,0.19914207,-0.043982297,-0.09896017
0 days 00:00:01.090000,0.13316862,-0.02076942,-0.11362094
0 days 00:00:01.100000,0.18936823,0.007330383,-0.13805555
0 days 00:00:01.110000,0.1966986,0.017104227,-0.11484267
0 days 00:00:01.120000,0.18570304,0.007330383,-0.15393804
0 days 00:00:01.130000,0.28099802,0.008552114,-0.16371189
0 days 00:00:01.140000,0.29565877,0.019547688,-0.1160644
0 days 00:00:01.150000,0.19547687,0.015882496,-0.07819075
0 days 00:00:01.160000,0.13194689,0.013439035,-0.064751714
0 days 00:00:01.170000,0.13194689,0.013439035,-0.080634214
0 days 00:00:01.180000,0.09896017,-0.008552114,-0.10262536
0 days 00:00:01.190000,0.047647487,-0.04520403,-0.14782938
0 days 00:00:01.200000,0.12705997,-0.047647487,-0.14172074
0 days 00:00:01.210000,0.1600467,-0.040317107,-0.12705997
0 days 00:00:01.220000,0.14660765,-0.04153884,-0.13927728
0 days 00:00:01.230000,0.16126843,-0.028099801,-0.1441642
0 days 00:00:01.240000,0.096516706,-0.04153884,-0.14905111
0 days 00:00:01.250000,-0.09162979,-0.1160644,-0.19181168
0 days 00:00:01.260000,-0.2919936,-0.21502456,-0.27366763
0 days 00:00:01.270000,-0.2846632,-0.26389378,-0.3286455
0 days 00:00:01.280000,-0.14294247,-0.24312437,-0.2724459
0 days 00:00:01.290000,-0.15027285,-0.19547687,-0.29077184
0 days 00:00:01.300000,-0.30665436,-0.23701571,-0.38606682
0 days 00:00:01.310000,-0.3726278,-0.29443705,-0.516792
0 days 00:00:01.320000,-0.3811799,-0.40683624,-0.68783426
0 days 00:00:01.330000,-0.32986724,-0.49968776,-0.81122905
0 days 00:00:01.340000,-0.032986723,-0.50946164,-0.7305948
0 days 00:00:01.350000,-0.10629055,-0.5119051,-0.68783426
0 days 00:00:01.360000,-0.087964594,-0.47525316,-0.6426302
0 days 00:00:01.370000,0.043982297,-0.43249258,-0.61453044
0 days 00:00:01.380000,0.056199603,-0.42760566,-0.65118235
0 days 00:00:01.390000,-0.06841691,-0.5314528,-0.689056
0 days 00:00:01.400000,-0.376293,-0.62796944,-0.70371675
0 days 00:00:01.410000,-0.17470746,-0.5558874,-0.60231316
0 days 00:00:01.420000,-0.13683381375,-0.5332853825,-0.6658431275000001
0 days 00:00:01.430000,-0.0989601675,-0.510683365,-0.729373095
0 days 00:00:01.440000,0.05131268,-0.52290064,-0.7501425
0 days 00:00:01.450000,-0.23457226,-0.535118,-0.816116
0 days 00:00:01.460000,-0.12217305,-0.453262,-0.675617
0 days 00:00:01.470000,0.18936823,-0.34697145,-0.46303585
0 days 00:00:01.480000,-0.10995574,-0.28588495,-0.50701815
0 days 00:00:01.490000,-0.22724187,-0.312763,-0.52778757
0 days 00:00:01.500000,-0.35796702,-0.31520647,-0.5338962
0 days 00:00:01.510000,-0.4801401,-0.3359759,-0.657291
0 days 00:00:01.520000,-0.35918877,-0.31764993,-0.6377433
0 days 00:00:01.530000,0.14782938,-0.14172074,-0.4373795
0 days 00:00:01.540000,0.030543262,-0.06841691,-0.49968776
0 days 00:00:01.550000,-0.14905111,-0.07574729,-0.5021312
0 days 00:00:01.560000,-0.33475417,-0.081855945,-0.44226643
0 days 00:00:01.570000,-0.5510005,-0.12461651,-0.54367006
0 days 00:00:01.580000,-0.6230826,-0.18081611,-0.60231316
0 days 00:00:01.590000,-0.5363397,-0.18570304,-0.50579643
0 days 00:00:01.600000,0.1282817,-0.07086037,-0.28710666
0 days 00:00:01.610000,0.06352998,-0.064751714,-0.31642818
0 days 00:00:01.620000,-0.45937067,-0.10629055,-0.37140608
0 days 00:00:01.630000,-0.5143485,-0.119729586,-0.28710666
