time,x,y,z
0 days 00:00:00,2.583045851107739,2.7964275,-1.484405
0 days 00:00:00.010000,2.8751388511077387,3.4811692,-1.3479356
0 days 00:00:00.020000,3.1361063511077383,3.3662477,-1.3144168
0 days 00:00:00.030000,3.042732851107738,4.201824,-1.1228806
0 days 00:00:00.040000,3.100193851107738,3.514688,-1.5705963
0 days 00:00:00.050000,3.167231851107738,3.9791632,-1.5873557
0 days 00:00:00.060000,3.552697851107739,4.197036,-1.7357962
0 days 00:00:00.070000,3.6963498511077386,4.2185836,-1.5849615
0 days 00:00:00.080000,3.4545353511077384,4.560954,-1.5825673
0 days 00:00:00.090000,3.579033851107738,4.189853,-1.8650831
0 days 00:00:00.100000,3.502419351107738,4.4125137,-1.7477672
0 days 00:00:00.110000,3.3324318511077387,4.189853,-1.8650831
0 days 00:00:00.120000,2.963723851107739,4.1276035,-2.2337902
0 days 00:00:00.130000,2.8559858511077394,4.1539397,-1.7669208
0 days 00:00:00.140000,2.884715851107739,4.5322237,-2.3223755
0 days 00:00:00.150000,3.073856851107738,3.775656,-3.0071173
0 days 00:00:00.160000,3.303700851107738,4.6255975,-2.0398598
0 days 00:00:00.170000,2.8895038511077384,4.4005427,-2.1212628
0 days 00:00:00.180000,2.9110518511077395,4.1060557,-2.5019407
0 days 00:00:00.190000,2.851196851107739,4.295198,-2.906561
0 days 00:00:00.200000,2.8990808511077386,3.9695864,-3.454833
0 days 00:00:00.210000,2.8416198511077386,4.4101195,-2.4349031
0 days 00:00:00.220000,2.6812088511077388,4.7261543,-2.408567
0 days 00:00:00.230000,2.606987851107739,3.8714242,-2.9400797
0 days 00:00:00.240000,2.6596598511077385,4.185065,-2.597709
0 days 00:00:00.250000,2.6476898511077387,4.5298295,-1.7262194
0 days 00:00:00.260000,2.281376851107739,4.2904096,-1.553837
0 days 00:00:00.270000,2.233492851107739,3.8953662,-2.3535004
0 days 00:00:00.280000,2.128147851107739,3.2920272,-1.8531121
0 days 00:00:00.290000,1.9916778511077382,3.4620156,-2.0709844
0 days 00:00:00.300000,1.8480258511077388,2.8419175,-2.1859062
0 days 00:00:00.310000,1.7235278511077397,2.336741,-2.7581203
0 days 00:00:00.320000,1.776199851107739,2.456451,-2.1763294
0 days 00:00:00.330000,1.3404558511077393,3.241749,-0.79966336
0 days 00:00:00.340000,1.2375048511077384,2.7629087,-1.5059528
0 days 00:00:00.350000,1.2039858511077384,2.7102363,-1.7166426
0 days 00:00:00.360000,1.218350851107738,3.1651347,-1.5825673
0 days 00:00:00.370000,1.275811851107738,2.72939,-2.087744
0 days 00:00:00.380000,1.0986408511077386,2.9903579,-1.6424223
0 days 00:00:00.390000,1.208774851107739,2.9592333,-3.1483753
0 days 00:00:00.400000,1.0100558511077384,2.2960393,-3.0262709
0 days 00:00:00.410000,0.8137308511077386,3.9240966,-2.0326772
0 days 00:00:00.420000,0.5479748511077389,4.5561657,0.16998832
0 days 00:00:00.430000,0.33728510110774046,4.20122535,-0.6296750150000001
0 days 00:00:00.440000,0.12659535110774023,3.846285,-1.42933835
0 days 00:00:00.450000,0.45699485110773885,2.7461493,-1.922544
0 days 00:00:00.460000,-0.02663314889226065,3.6750996,-2.4277205
0 days 00:00:00.470000,-0.0936711488922608,2.1308396,-3.086126
0 days 00:00:00.480000,-0.13197814889226045,2.2457612,-3.0502129
0 days 00:00:00.490000,-0.2564771488922606,3.821146,-0.32800564
0 days 00:00:00.500000,-0.8526331488922612,4.5657425,-0.5506664
0 days 00:00:00.510000,-0.2971781488922609,3.1890767,-2.0853498
0 days 00:00:00.520000,-0.05297014889226048,2.2050598,-1.9177556
0 days 00:00:00.530000,-0.5102623988922605,2.50613065,-2.0069396250000002
0 days 00:00:00.540000,-0.9675546488922615,2.8072014999999997,-2.09612365
0 days 00:00:00.550000,-1.8031311488922617,0.009576807,-0.107739076
0 days 00:00:00.560000,-0.946007148892261,1.3790601,-1.9632454
0 days 00:00:00.570000,-0.40731114889226205,3.0669725,-1.5801731
0 days 00:00:00.580000,-0.42886014889226054,3.3854012,-1.5921441
0 days 00:00:00.590000,-0.7903841488922616,1.9249382,-1.6208745
0 days 00:00:00.600000,-0.4264651488922606,2.1332338,-1.6472107
0 days 00:00:00.610000,-0.31633214889226124,3.3901896,-2.0470424
0 days 00:00:00.620000,-0.855027148892261,2.695871,0.581791
0 days 00:00:00.630000,-0.9801242988922612,2.4492683,-0.45250415
0 days 00:00:00.640000,-1.1052214488922614,2.2026656,-1.4867993
0 days 00:00:00.650000,-0.5389931488922617,2.0901382,-2.1068976
0 days 00:00:00.660000,-1.1064187488922617,1.5634137,0.17956513
0 days 00:00:00.670000,-1.573288148892261,1.6543933,-0.91219085
0 days 00:00:00.680000,-0.9053055488922617,3.1771057,-2.3223755
0 days 00:00:00.690000,-0.9531895488922615,1.9776106,-0.7398083
0 days 00:00:00.700000,-1.6714501488922613,0.9624691,-0.51235914
0 days 00:00:00.710000,-1.2380997488922612,2.0829554,-0.2753332
0 days 00:00:00.720000,-1.4942795488922611,1.4556746,-0.20111294
0 days 00:00:00.730000,-1.3189040988922613,1.6478093,-0.8128314950000001
0 days 00:00:00.740000,-1.1435286488922607,1.839944,-1.4245500500000001
0 days 00:00:00.750000,-0.9531895488922615,2.8323407,-1.4053963
0 days 00:00:00.760000,-1.297954748892261,2.0973208,-1.8267759
0 days 00:00:00.770000,-0.29239014889226134,1.4867992,-0.93134445
0 days 00:00:00.780000,-0.3067551488922611,-1.472434,-0.090979666
0 days 00:00:00.790000,0.11342710110773879,-0.0017956100000000585,-0.22685063300000002
